ai_infor_users_id,ai_infor_accounting_entity_id,ai_infor_users_accounting_entity_mapping_id,is_active,lid,ae_app_type,ai_infor_maps_id
1967,109,11372,t,lid://infor.ln.ln_sd1,,17150
1967,109,11373,t,lid://infor.ln.ln_sd1,,17152
1967,109,11374,t,lid://infor.ln.ln_sd1,,17153
1967,109,11375,t,lid://infor.ln.ln_sd1,,17154
1967,109,11376,t,lid://infor.ln.ln_sd1,,17159
1967,109,11377,t,lid://infor.ln.ln_sd1,,17165
1967,109,11378,t,lid://infor.ln.ln_sd1,,17167
1967,109,11379,t,lid://infor.ln.ln_sd1,,17171
1967,109,11385,t,lid://infor.ln.ln_sd1,,17228
1967,109,11386,t,lid://infor.ln.ln_sd1,,17246
1967,109,11387,t,lid://infor.ln.ln_sd1,,17297
1967,109,11388,t,lid://infor.ln.ln_sd1,,17313
1967,109,11389,t,lid://infor.ln.ln_sd1,,17321
1967,109,11390,t,lid://infor.ln.ln_sd1,,17328
1967,109,11391,t,lid://infor.ln.ln_sd1,,17358
1967,109,11392,t,lid://infor.ln.ln_sd1,,17366
1967,109,11393,t,lid://infor.ln.ln_sd1,,17422
1967,109,11394,t,lid://infor.ln.ln_sd1,,17504
1973,109,11343,t,lid://infor.ln.ln_sd1,,17937
1973,109,11344,t,lid://infor.ln.ln_sd1,,17727
1967,109,11382,t,lid://infor.ln.ln_sd1,,17205
1967,109,11383,t,lid://infor.ln.ln_sd1,,17211
1967,109,11384,t,lid://infor.ln.ln_sd1,,17223
1975,109,11399,t,lid://infor.ln.ln_sd1,,17470
1975,109,11400,t,lid://infor.ln.ln_sd1,,17671
1975,109,11401,t,lid://infor.ln.ln_sd1,,17695
1975,109,11402,t,lid://infor.ln.ln_sd1,,17703
1975,109,11403,t,lid://infor.ln.ln_sd1,,17149
1975,109,11404,t,lid://infor.ln.ln_sd1,,17150
1975,109,11405,t,lid://infor.ln.ln_sd1,,17152
1975,109,11406,t,lid://infor.ln.ln_sd1,,17153
1975,109,11407,t,lid://infor.ln.ln_sd1,,17154
1975,109,11408,t,lid://infor.ln.ln_sd1,,17159
1975,109,11409,t,lid://infor.ln.ln_sd1,,17165
1975,109,11410,t,lid://infor.ln.ln_sd1,,17167
1975,109,11411,t,lid://infor.ln.ln_sd1,,17171
1975,109,11412,t,lid://infor.ln.ln_sd1,,17181
1975,109,11413,t,lid://infor.ln.ln_sd1,,17200
1975,109,11414,t,lid://infor.ln.ln_sd1,,17205
1975,109,11415,t,lid://infor.ln.ln_sd1,,17211
1975,109,11416,t,lid://infor.ln.ln_sd1,,17223
1975,109,11417,t,lid://infor.ln.ln_sd1,,17228
1975,109,11418,t,lid://infor.ln.ln_sd1,,17246
1975,109,11419,t,lid://infor.ln.ln_sd1,,17328
1987,109,11427,t,lid://infor.ln.ln_sd1,,17510
1987,109,11428,t,lid://infor.ln.ln_sd1,,17526
1987,109,11429,t,lid://infor.ln.ln_sd1,,17566
1987,109,11430,t,lid://infor.ln.ln_sd1,,17598
1987,109,11431,t,lid://infor.ln.ln_sd1,,17438
1987,109,11432,t,lid://infor.ln.ln_sd1,,17446
1987,109,11433,t,lid://infor.ln.ln_sd1,,17462
1987,109,11434,t,lid://infor.ln.ln_sd1,,17478
